date,open,high,low,close,volume,adjusted_close
2024-01-02,622.25,623.0599975585938,599.6300048828125,603.760009765625,1666700,593.3031005859375
2024-01-03,597.5599975585938,598.3800048828125,589.4099731445312,591.1400146484375,1439400,580.901611328125
2024-01-04,590.6099853515625,594.510009765625,585.8099975585938,586.8200073242188,956700,576.6563110351562
2024-01-05,586.8200073242188,592.1699829101562,586.1500244140625,589.02001953125,838900,578.8182983398438
2024-01-08,593.0999755859375,600.5499877929688,591.9199829101562,598.3800048828125,1689700,588.01611328125
2024-01-09,591.1500244140625,606.739990234375,590.1400146484375,605.1799926757812,1271100,595.59423828125
2024-01-10,603.1199951171875,613.3599853515625,603.02001953125,608.7000122070312,1292400,599.0584106445312
2024-01-11,611.1699829101562,615.6699829101562,600.510009765625,608.7100219726562,1315200,599.068359375
2024-01-12,612.0,613.989990234375,606.0800170898438,611.7999877929688,802400,602.1093139648438
2024-01-16,607.75,612.9600219726562,601.219970703125,603.8300170898438,1433100,594.2656860351562
2024-01-17,600.5599975585938,601.8400268554688,593.2899780273438,599.8400268554688,1540000,590.3388671875
2024-01-18,603.4000244140625,612.1199951171875,601.7999877929688,611.3599853515625,1147700,601.6763305664062
2024-01-19,614.8800048828125,624.1500244140625,610.969970703125,622.1799926757812,1334400,612.3248901367188
2024-01-22,626.5499877929688,632.4400024414062,626.0,630.6099853515625,954400,620.6214599609375
2024-01-23,630.5900268554688,636.6900024414062,624.1400146484375,635.8200073242188,853500,625.7489013671875
2024-01-24,641.75,644.72998046875,634.7999877929688,636.1799926757812,1017300,626.1030883789062
2024-01-25,649.469970703125,649.469970703125,637.0700073242188,641.489990234375,1043400,631.3290405273438
2024-01-26,642.7999877929688,646.2000122070312,639.7100219726562,641.3599853515625,770900,631.2010498046875
2024-01-29,643.0,654.02001953125,642.0900268554688,652.8800048828125,869200,642.5387573242188
2024-01-30,647.8900146484375,652.1400146484375,646.1300048828125,647.719970703125,1114600,637.4603881835938
2024-01-31,641.8300170898438,642.530029296875,626.2100219726562,631.3300170898438,1208500,621.3298950195312
2024-02-01,631.52001953125,634.8800048828125,623.2000122070312,632.8599853515625,1034100,622.8358154296875
2024-02-02,628.219970703125,642.530029296875,628.219970703125,639.5800170898438,1287300,629.449462890625
2024-02-05,638.6799926757812,641.8599853515625,629.280029296875,640.5999755859375,1007900,630.453125
2024-02-06,644.5900268554688,645.8499755859375,630.9500122070312,635.2999877929688,908600,625.237060546875
2024-02-07,640.5399780273438,649.3099975585938,636.97998046875,643.1699829101562,970400,632.9825439453125
2024-02-08,646.4299926757812,654.239990234375,643.1699829101562,653.0700073242188,1005700,642.7255859375
2024-02-09,657.530029296875,662.8300170898438,654.6900024414062,658.1599731445312,1005100,647.7349243164062
2024-02-12,655.719970703125,659.719970703125,651.8900146484375,656.989990234375,1279100,646.58349609375
2024-02-13,634.530029296875,646.4000244140625,628.7000122070312,638.2899780273438,1785100,628.1796875
2024-02-14,642.989990234375,657.6500244140625,642.989990234375,657.1300048828125,1285400,646.7213134765625
2024-02-15,662.6599731445312,664.8300170898438,657.0,664.280029296875,1438000,653.7581176757812
2024-02-16,662.9600219726562,663.0,651.1199951171875,655.739990234375,1336800,645.3533935546875
2024-02-20,650.7100219726562,655.4400024414062,641.0499877929688,645.9099731445312,1470600,635.678955078125
2024-02-21,640.5,643.8400268554688,630.52001953125,638.27001953125,1144700,628.1600952148438
2024-02-22,650.0800170898438,659.3800048828125,649.52001953125,657.9199829101562,1975600,647.4989013671875
2024-02-23,652.760009765625,668.239990234375,646.1500244140625,659.8099975585938,1740400,649.35888671875
