date,open,high,low,close,volume,adjusted_close
2024-01-02,172.35000610351562,172.35000610351562,167.61000061035156,168.97000122070312,8989000,167.70257568359375
2024-01-03,166.35000610351562,167.47999572753906,165.3699951171875,165.97000122070312,9303600,164.72508239746094
2024-01-04,164.27999877929688,166.64999389648438,163.97000122070312,164.99000549316406,7095800,163.75242614746094
2024-01-05,165.47999572753906,167.57000732421875,165.10000610351562,166.0800018310547,6869600,164.83425903320312
2024-01-08,167.39999389648438,172.0800018310547,167.27999877929688,171.9600067138672,10514800,170.67015075683594
2024-01-09,170.52999877929688,173.72999572753906,169.92999267578125,172.4199981689453,6974300,171.12669372558594
2024-01-10,173.0500030517578,173.10000610351562,170.6300048828125,172.5800018310547,6330000,171.28549194335938
2024-01-11,173.27000427246094,174.52999877929688,170.19000244140625,173.55999755859375,7993700,172.25814819335938
2024-01-12,173.75,174.1699981689453,172.05999755859375,172.9499969482422,4561000,171.6527099609375
2024-01-16,173.2899932861328,176.86000061035156,172.74000549316406,175.6999969482422,7678000,174.38209533691406
2024-01-17,174.47999572753906,174.92999267578125,171.49000549316406,174.63999938964844,6751200,173.3300323486328
2024-01-18,179.6699981689453,180.5500030517578,177.41000366210938,180.30999755859375,11983800,178.95751953125
2024-01-19,182.38999938964844,187.30999755859375,181.4199981689453,187.17999267578125,12742400,185.77597045898438
2024-01-22,188.80999755859375,189.97999572753906,186.47000122070312,188.0500030517578,8308900,186.6394500732422
2024-01-23,188.02000427246094,189.1699981689453,186.08999633789062,189.00999450683594,6031200,187.59225463867188
2024-01-24,191.2100067138672,195.3000030517578,190.02000427246094,192.3699951171875,14706600,190.9270477294922
2024-01-25,195.8000030517578,195.89999389648438,191.25,192.3699951171875,11109400,190.9270477294922
2024-01-26,189.16000366210938,190.47000122070312,187.6999969482422,188.27000427246094,9921900,186.85781860351562
2024-01-29,188.72000122070312,190.50999450683594,187.82000732421875,190.47999572753906,8035500,189.0512237548828
2024-01-30,190.11000061035156,190.89999389648438,187.67999267578125,188.58999633789062,6340100,187.17539978027344
2024-01-31,185.72999572753906,188.7100067138672,184.14999389648438,185.8699951171875,10827100,184.47579956054688
2024-02-01,186.72999572753906,188.10000610351562,185.0500030517578,187.57000732421875,6322500,186.16305541992188
2024-02-02,188.22000122070312,191.72999572753906,187.86000061035156,191.22000122070312,7865400,189.7856903076172
2024-02-05,193.5399932861328,195.72000122070312,191.44000244140625,194.9499969482422,8600500,193.48770141601562
2024-02-06,195.85000610351562,195.88999938964844,190.1199951171875,192.74000549316406,8505100,191.29428100585938
2024-02-07,193.6999969482422,196.7899932861328,192.41000366210938,196.6300048828125,7138800,195.1551055908203
2024-02-08,197.57000732421875,200.86000061035156,196.82000732421875,199.42999267578125,8963800,197.93408203125
2024-02-09,201.14999389648438,204.1999969482422,199.77000427246094,203.85000610351562,7642200,202.32093811035156
2024-02-12,204.1999969482422,207.1199951171875,201.97000122070312,203.05999755859375,9718900,201.536865234375
2024-02-13,197.1699981689453,201.55999755859375,196.2899932861328,199.3000030517578,11269600,197.80506896972656
2024-02-14,202.0,203.91000366210938,200.41000366210938,203.3000030517578,7932500,201.7750701904297
2024-02-15,204.60000610351562,204.74000549316406,202.00999450683594,202.6199951171875,7103400,201.10015869140625
2024-02-16,204.3300018310547,206.0800018310547,201.2100067138672,201.75,6273100,200.23667907714844
2024-02-20,200.27000427246094,200.75999450683594,194.64999389648438,197.77999877929688,11318400,196.2964630126953
2024-02-21,195.63999938964844,196.5399932861328,193.72000122070312,196.50999450683594,8624800,195.03599548339844
2024-02-22,207.17999267578125,210.6999969482422,206.3300018310547,209.92999267578125,12445700,208.35533142089844
2024-02-23,212.02999877929688,213.36000061035156,206.97000122070312,208.6199951171875,8526200,207.05516052246094
2024-02-26,210.60000610351562,211.6199951171875,208.8300018310547,210.35000610351562,7552200,208.77218627929688
2024-02-27,211.00999450683594,211.75999450683594,208.83999633789062,209.74000549316406,4969700,208.16676330566406
2024-02-28,207.61000061035156,208.75,206.42999267578125,207.41000366210938,4505800,205.854248046875
2024-02-29,209.8000030517578,212.55999755859375,208.7899932861328,211.9499969482422,6450600,210.3601837158203
2024-03-01,214.1199951171875,221.32000732421875,213.97999572753906,220.5399932861328,10273300,218.8857421875
2024-03-04,224.0,227.1300048828125,222.6699981689453,224.08999633789062,10905100,222.40911865234375
2024-03-05,222.36000061035156,223.22999572753906,218.2899932861328,220.66000366210938,10421000,219.00485229492188
2024-03-06,225.1300048828125,228.75999450683594,223.67999267578125,226.35000610351562,11245400,224.6521759033203
2024-03-07,229.72999572753906,234.91000366210938,229.4600067138672,234.1699981689453,13524400,232.41351318359375
2024-03-08,236.92999267578125,239.13999938964844,224.44000244140625,224.99000549316406,22519200,223.30238342285156
2024-03-11,222.13999938964844,223.8800048828125,219.02000427246094,220.97999572753906,12843800,219.3224334716797
2024-03-12,224.5500030517578,228.02000427246094,220.55999755859375,227.97000122070312,10410300,226.26002502441406
2024-03-13,225.8699951171875,225.8699951171875,221.14999389648438,223.4600067138672,9835800,221.78384399414062
2024-03-14,222.77999877929688,223.99000549316406,217.41000366210938,219.4600067138672,11440100,217.81385803222656
2024-03-15,216.94000244140625,220.3000030517578,215.92999267578125,217.83999633789062,11402000,216.20599365234375
2024-03-18,222.1699981689453,223.16000366210938,217.82000732421875,218.27999877929688,8671700,216.6427001953125
2024-03-19,215.72000122070312,218.85000610351562,212.82000732421875,217.8000030517578,10606900,216.1663055419922
2024-03-20,218.85000610351562,221.6199951171875,216.8300018310547,221.2899932861328,9158100,219.630126953125
2024-03-21,228.5800018310547,230.0500030517578,225.80999755859375,226.30999755859375,11728000,224.6124725341797
2024-03-22,225.60000610351562,229.25,225.22000122070312,227.63999938964844,5350200,225.93247985839844
2024-03-25,225.22000122070312,229.24000549316406,224.86000061035156,227.0800018310547,4938900,225.37669372558594
2024-03-26,228.8000030517578,229.4600067138672,224.75999450683594,224.97000122070312,6402500,223.2825164794922
2024-03-27,226.58999633789062,226.83999633789062,221.49000549316406,224.88999938964844,7614700,223.203125
